0to1,0to2,0to3,1to4,1to5,2to4,2to5,2to6,3to5,3to6,4to7,4to8,5to7,5to8,5to9,6to8,6to9,0,1,2,3,4,5,6,7,8,9,flipped,congruency,trial_id,index,group
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,1,1,0,3,1,1,2,2,0,False,I,incong_0,0,II
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,3,3,2,3,0,3,1,0,1,False,I,incong_1,1,II
False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0,2,2,0,3,1,2,1,3,2,False,I,incong_2,2,II
True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,2,3,1,1,1,3,2,1,0,False,I,incong_3,3,II
False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0,3,2,3,1,2,0,0,1,3,False,I,incong_4,4,II
False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0,0,1,1,3,1,2,2,2,1,False,I,incong_5,5,II
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,2,2,0,3,0,0,1,3,0,False,I,incong_6,6,II
False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0,0,2,0,1,1,2,2,3,2,False,I,incong_7,7,II
False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0,3,2,1,3,3,2,1,2,2,False,I,incong_8,8,II
True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0,1,1,1,0,2,0,2,3,3,False,I,incong_9,9,II
True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,1,1,1,1,3,0,2,2,True,I,incong_0_flipped,10,II
False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0,2,3,3,3,0,3,1,0,1,True,I,incong_1_flipped,11,II
True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,0,2,2,2,1,3,2,3,1,True,I,incong_2_flipped,12,II
False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0,1,3,2,3,1,1,0,1,2,True,I,incong_3_flipped,13,II
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,3,2,3,0,2,1,3,1,0,True,I,incong_4_flipped,14,II
True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,1,1,0,2,1,3,1,2,2,True,I,incong_5_flipped,15,II
True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,2,2,0,0,3,0,3,1,True,I,incong_6_flipped,16,II
True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0,0,2,0,2,1,1,2,3,2,True,I,incong_7_flipped,17,II
True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,1,2,3,2,3,3,2,2,1,True,I,incong_8_flipped,18,II
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,1,1,1,0,2,0,3,3,2,True,I,incong_9_flipped,19,II
False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0,2,1,0,2,2,3,1,3,2,False,I,test_0,20,II
False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0,2,1,3,3,1,3,1,0,1,False,I,test_1,21,II
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,1,2,3,2,1,3,3,1,0,False,I,test_2,22,II
False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0,3,1,2,0,3,2,1,0,1,False,I,test_3,23,II
True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0,2,0,0,1,1,3,2,2,3,False,I,test_4,24,II
