subjID,P0_Q1,P0_Q2,P0_Q3,P0_Q4,P0_Q5,strategies
s0,3,6,6,4,2,"Trying to imagine what information the student must have been missing to choose the path that they did, rather than the path with the higher point total"
s1,2,7,7,1,1,"First finding out how many points the student received first, then looking at the path they took, I chose a path they are likely to use depending on where they started that will get the most points"
s2,2,7,6,4,1,I tried to pick the best option based on the information I knew the student already had access to (aka the solid black lines).
s3,4,7,4,4,2,I just tried to choose a path that would increase the outcome.
s4,5,5,6,5,4,Tried to pick one that had possibility of giving the greatest number of points
s5,4,7,6,4,1,"Looking at which direction they decided to go initially and why they possibly took that path. I also calculated how many points they had, and how many I could achieve them to get."
s6,5,4,6,5,4,I checked to see if higher value balls could be chosen in place of the lower value balls. 
s7,2,6,6,2,4,"Chose the top path first to the maximum number of points, then looked at the rest for the most points"
s8,4,6,6,5,3,No real strategy I just tried to choose the best route for the most reward.
s9,5,7,6,5,1,Trying to account for what the student already knows and guiding them in a logical manner to a better path (usually assuming that they'll take the same paths as before)
s10,3,7,5,3,1,
s11,2,6,6,2,2,connect the 3s
s12,6,5,5,5,2,Use the points with highest values.
s13,5,5,4,5,4,"I looked for paths that would change the student's chosen path when possible. Whenever there was a +3, I tried to steer the student to it."
s14,6,7,6,5,2,"Sometimes I would pick an early path increase hoping for bigger gains (risky).  Sometimes I would pick an ending path with a guaranteed increase (safe, but smaller gain).  Sometimes I'd pick a middle path because nothing else would get me gains."
s15,5,7,7,5,4,finding out the paths that yields the largest number
s16,4,7,6,6,2,Try to go to the next path with the most points in their respective paths and then see the overall total pointts.
s17,3,7,5,4,1,"Picked the route that guaranteed giving additional points, if not, picked a route close to the middle or top that could lead to more points"
s18,5,6,6,6,1,"Moving from the top down, find the largest number on each level and navigate a path to the next level down that leads to the best total score for all three levels."
s19,5,6,6,5,2,"Find the max sum from each map, then choose the earliest unknown path along that route"
s20,5,7,6,5,2,"I assumed that the open paths would be closer to the student's known path, so I looked for connections that would allow the student to maximize their previous path but 'unlock' new parts of the grid"
s21,1,7,6,2,1,look at each of the 3 tiers and see which number is greatest then compute the paths
s22,2,7,4,3,2,I looked for the highest possible numbers and then chose the path that seemed likely to be the bottleneck or reason the student didn't go that way.
s23,3,4,4,5,5,most points
s24,2,7,6,4,1,Figure out the path that would give the most points
s25,5,7,6,6,2,Tried to maximize total point potential on that path
s26,6,7,5,6,3,"If there was an easy path to get more points (e.g. more points at the very bottom of the path), then I took it. But if it was less clear, I just chose a path that would lead to a higher value and hoped that the student could see a better path."
s27,6,7,6,7,1,"I did not use any strategies during the task, I just mentally drew the lines and added up the points trying to guage which way the student might go from the line I drew"
s28,2,7,5,3,2,Choose high values
