,subjID,edgeRT,model,trial,group,block,logRT_ms
0,s0,1211.0,Reward Heuristic,20.0,Congruent,test,7.099201743553092
1,s0,4521.0,Reward Heuristic,21.0,Congruent,test,8.416488487294606
2,s0,14196.0,Reward Heuristic,22.0,Congruent,test,9.560715513766388
3,s0,6765.0,Reward Heuristic,23.0,Congruent,test,8.819517540604888
4,s0,10300.0,Reward Heuristic,24.0,Congruent,test,9.239899174217728
5,s1,9920.0,Bayes Optimal Teacher,20.0,Congruent,test,9.20230820027892
6,s1,17160.0,Bayes Optimal Teacher,21.0,Congruent,test,9.750336373041954
7,s1,6461.0,Bayes Optimal Teacher,22.0,Congruent,test,8.773539383558166
8,s1,8914.0,Bayes Optimal Teacher,23.0,Congruent,test,9.0953783535065
9,s1,7434.0,Bayes Optimal Teacher,24.0,Congruent,test,8.913819350857198
10,s2,10494.0,Bayes Optimal Teacher,20.0,Incongruent,test,9.258558944246657
11,s2,14111.0,Bayes Optimal Teacher,21.0,Incongruent,test,9.55470991405776
12,s2,7878.0,Bayes Optimal Teacher,22.0,Incongruent,test,8.971829343530851
13,s2,4123.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.3243363327069
14,s2,12437.0,Bayes Optimal Teacher,24.0,Incongruent,test,9.42843117965374
15,s3,4628.0,Bayes Optimal Teacher,20.0,Congruent,test,8.439880088313567
16,s3,5400.0,Bayes Optimal Teacher,21.0,Congruent,test,8.594154232552366
17,s3,5832.0,Bayes Optimal Teacher,22.0,Congruent,test,8.671115273688494
18,s3,3886.0,Bayes Optimal Teacher,23.0,Congruent,test,8.265135629937385
19,s3,8105.0,Bayes Optimal Teacher,24.0,Congruent,test,9.000236434169777
20,s4,5075.0,Bayes Optimal Teacher,20.0,Incongruent,test,8.532081803909987
21,s4,3210.0,Bayes Optimal Teacher,21.0,Incongruent,test,8.07402621612406
22,s4,5722.0,Bayes Optimal Teacher,22.0,Incongruent,test,8.652073673610056
23,s4,5113.0,Bayes Optimal Teacher,23.0,Incongruent,test,8.53954159508
24,s4,7363.0,Bayes Optimal Teacher,24.0,Incongruent,test,8.904222737368716
25,s5,3837.0,Reward Heuristic,19.0,Incongruent,test,8.252446090246952
26,s5,2523.0,Reward Heuristic,20.0,Incongruent,test,7.833203948641057
27,s5,11478.0,Reward Heuristic,21.0,Incongruent,test,9.348187438668308
28,s5,4091.0,Reward Heuristic,22.0,Incongruent,test,8.316544717929398
29,s5,2861.0,Reward Heuristic,23.0,Incongruent,test,7.95892649305011
30,s7,12969.0,Bayes Optimal Teacher,20.0,Congruent,test,9.470317173335742
31,s7,11902.0,Bayes Optimal Teacher,21.0,Congruent,test,9.384461732204798
32,s7,9833.0,Bayes Optimal Teacher,22.0,Congruent,test,9.193499354780156
33,s7,4643.0,Bayes Optimal Teacher,23.0,Congruent,test,8.443115988019922
34,s7,15971.0,Bayes Optimal Teacher,24.0,Congruent,test,9.67852985665631
35,s8,5737.0,Bayes Optimal Teacher,19.0,Congruent,test,8.654691704601872
36,s8,5065.0,Bayes Optimal Teacher,20.0,Congruent,test,8.530109416682784
37,s8,3512.0,Bayes Optimal Teacher,21.0,Congruent,test,8.163940954755008
38,s8,7753.0,Bayes Optimal Teacher,22.0,Congruent,test,8.955835144218959
39,s8,9235.0,Bayes Optimal Teacher,23.0,Congruent,test,9.13075589263334
40,s9,8937.0,Reward Heuristic,19.0,Congruent,test,9.097955241381392
41,s9,5495.0,Reward Heuristic,20.0,Congruent,test,8.611593866837723
42,s9,6415.0,Reward Heuristic,21.0,Congruent,test,8.766394277049736
