,subjID,edgeRT,model,trial,group,condition,block,logRT_ms
0,s0,9725.0,Bayes Optimal Teacher,15.0,Incongruent,No Scaffolding,test,9.182455168486648
1,s0,10586.0,Bayes Optimal Teacher,16.0,Incongruent,No Scaffolding,test,9.267287652417933
2,s0,7531.0,Bayes Optimal Teacher,17.0,Incongruent,No Scaffolding,test,8.926783114101351
3,s0,8025.0,Bayes Optimal Teacher,18.0,Incongruent,No Scaffolding,test,8.990316947998217
4,s0,21343.0,Bayes Optimal Teacher,19.0,Incongruent,No Scaffolding,test,9.968479096043568
5,s1,7129.0,Reward Heuristic,15.0,Congruent,No Scaffolding,test,8.871926251117628
6,s1,5779.0,Reward Heuristic,16.0,Congruent,No Scaffolding,test,8.661985936317778
7,s1,9364.0,Reward Heuristic,17.0,Congruent,No Scaffolding,test,9.144627828610801
8,s1,7413.0,Reward Heuristic,18.0,Congruent,No Scaffolding,test,8.910990494656719
9,s1,9206.0,Reward Heuristic,19.0,Congruent,No Scaffolding,test,9.127610724377186
10,s2,5121.0,Reward Heuristic,15.0,Congruent,Reward Scaffolding,test,8.54110501146255
11,s2,2615.0,Reward Heuristic,16.0,Congruent,Reward Scaffolding,test,7.869019376499023
12,s2,1804.0,Reward Heuristic,17.0,Congruent,Reward Scaffolding,test,7.4977617006225685
13,s2,4697.0,Reward Heuristic,18.0,Congruent,Reward Scaffolding,test,8.454679286026995
14,s2,1903.0,Reward Heuristic,19.0,Congruent,Reward Scaffolding,test,7.551186867296149
15,s3,8903.0,Reward Heuristic,15.0,Incongruent,Reward Scaffolding,test,9.094143577573671
16,s3,27125.0,Reward Heuristic,16.0,Incongruent,Reward Scaffolding,test,10.208211090842761
17,s3,6435.0,Reward Heuristic,17.0,Incongruent,Reward Scaffolding,test,8.769507120030227
18,s3,3022.0,Reward Heuristic,18.0,Incongruent,Reward Scaffolding,test,8.013674142832684
19,s3,7036.0,Reward Heuristic,19.0,Incongruent,Reward Scaffolding,test,8.85879510585745
20,s4,21379.0,Bayes Optimal Teacher,15.0,Incongruent,No Scaffolding,test,9.970164410800407
21,s4,4106.0,Bayes Optimal Teacher,16.0,Incongruent,No Scaffolding,test,8.32020459757888
22,s4,13345.0,Bayes Optimal Teacher,17.0,Incongruent,No Scaffolding,test,9.498897061838624
23,s4,17161.0,Bayes Optimal Teacher,18.0,Incongruent,No Scaffolding,test,9.750394646402302
24,s4,21611.0,Bayes Optimal Teacher,19.0,Incongruent,No Scaffolding,test,9.980957723303026
25,s5,13878.0,Reward Heuristic,15.0,Congruent,Inference Scaffolding,test,9.538060131459494
26,s5,5066.0,Reward Heuristic,16.0,Congruent,Inference Scaffolding,test,8.53030683056162
27,s5,3313.0,Reward Heuristic,17.0,Congruent,Inference Scaffolding,test,8.105609402299896
28,s5,2929.0,Reward Heuristic,18.0,Congruent,Inference Scaffolding,test,7.982416346827733
29,s5,1987.0,Reward Heuristic,19.0,Congruent,Inference Scaffolding,test,7.594381242551817
30,s6,4784.0,Reward Heuristic,15.0,Congruent,Reward Scaffolding,test,8.473032295630468
31,s6,2237.0,Reward Heuristic,16.0,Congruent,Reward Scaffolding,test,7.71289096149013
32,s6,2521.0,Reward Heuristic,17.0,Congruent,Reward Scaffolding,test,7.83241092718792
33,s6,1968.0,Reward Heuristic,18.0,Congruent,Reward Scaffolding,test,7.584773077612199
34,s6,2370.0,Reward Heuristic,19.0,Congruent,Reward Scaffolding,test,7.7706452341291765
35,s7,4979.0,Bayes Optimal Teacher,15.0,Congruent,Reward Scaffolding,test,8.512984346642183
36,s7,6785.0,Bayes Optimal Teacher,16.0,Congruent,Reward Scaffolding,test,8.82246957226897
37,s7,14116.0,Bayes Optimal Teacher,17.0,Congruent,Reward Scaffolding,test,9.55506418479516
38,s7,6197.0,Bayes Optimal Teacher,18.0,Congruent,Reward Scaffolding,test,8.731820582962108
39,s7,10615.0,Bayes Optimal Teacher,19.0,Congruent,Reward Scaffolding,test,9.270023374137356
40,s8,8589.0,Bayes Optimal Teacher,15.0,Incongruent,Inference Scaffolding,test,9.058237593766226
41,s8,5810.0,Bayes Optimal Teacher,16.0,Incongruent,Inference Scaffolding,test,8.667335849845957
42,s8,2338.0,Bayes Optimal Teacher,17.0,Incongruent,Inference Scaffolding,test,7.757051142032013
43,s8,3985.0,Bayes Optimal Teacher,18.0,Incongruent,Inference Scaffolding,test,8.290292591224315
44,s8,5747.0,Bayes Optimal Teacher,19.0,Incongruent,Inference Scaffolding,test,8.656433258507741
45,s9,18163.0,Bayes Optimal Teacher,15.0,Congruent,Inference Scaffolding,test,9.807141836749443
46,s9,6560.0,Bayes Optimal Teacher,16.0,Congruent,Inference Scaffolding,test,8.788745881938135
47,s9,4735.0,Bayes Optimal Teacher,17.0,Congruent,Inference Scaffolding,test,8.462737005620179
48,s9,6933.0,Bayes Optimal Teacher,18.0,Congruent,Inference Scaffolding,test,8.84404789894249
49,s9,16183.0,Bayes Optimal Teacher,19.0,Congruent,Inference Scaffolding,test,9.691716587516886
50,s10,6295.0,Reward Heuristic,15.0,Incongruent,No Scaffolding,test,8.747510946478448
51,s10,8531.0,Reward Heuristic,16.0,Incongruent,No Scaffolding,test,9.051461866908694
52,s10,6017.0,Reward Heuristic,17.0,Incongruent,No Scaffolding,test,8.702344075220351
53,s10,6017.0,Reward Heuristic,18.0,Incongruent,No Scaffolding,test,8.702344075220351
54,s10,5906.0,Reward Heuristic,19.0,Incongruent,No Scaffolding,test,8.683724062303869
55,s11,28120.0,Bayes Optimal Teacher,15.0,Congruent,Reward Scaffolding,test,10.244236345924602
56,s11,16936.0,Bayes Optimal Teacher,16.0,Congruent,Reward Scaffolding,test,9.737196812814702
57,s11,14687.0,Bayes Optimal Teacher,17.0,Congruent,Reward Scaffolding,test,9.594718027753862
58,s11,4527.0,Bayes Optimal Teacher,18.0,Congruent,Reward Scaffolding,test,8.417814747435958
59,s11,19200.0,Bayes Optimal Teacher,19.0,Congruent,Reward Scaffolding,test,9.862665558015873
60,s12,3046.0,Reward Heuristic,15.0,Incongruent,Reward Scaffolding,test,8.021584533455107
61,s12,7471.0,Reward Heuristic,16.0,Incongruent,Reward Scaffolding,test,8.918784137975802
62,s12,4515.0,Reward Heuristic,17.0,Incongruent,Reward Scaffolding,test,8.415160465851086
63,s12,2929.0,Reward Heuristic,18.0,Incongruent,Reward Scaffolding,test,7.982416346827733
64,s12,6443.0,Reward Heuristic,19.0,Incongruent,Reward Scaffolding,test,8.770749549138642
65,s13,2798.0,Bayes Optimal Teacher,15.0,Incongruent,No Scaffolding,test,7.936660155225426
66,s13,3894.0,Bayes Optimal Teacher,16.0,Incongruent,No Scaffolding,test,8.267192185932146
67,s13,3345.0,Bayes Optimal Teacher,17.0,Incongruent,No Scaffolding,test,8.11522197256233
68,s13,4893.0,Bayes Optimal Teacher,18.0,Incongruent,No Scaffolding,test,8.495560891289124
69,s13,9475.0,Bayes Optimal Teacher,19.0,Incongruent,No Scaffolding,test,9.156412029950626
70,s14,11384.0,Bayes Optimal Teacher,15.0,Incongruent,Inference Scaffolding,test,9.339964139769688
71,s14,25650.0,Bayes Optimal Teacher,16.0,Incongruent,Inference Scaffolding,test,10.152298850598916
72,s14,13420.0,Bayes Optimal Teacher,17.0,Incongruent,Inference Scaffolding,test,9.504501410525673
73,s14,23740.0,Bayes Optimal Teacher,18.0,Incongruent,Inference Scaffolding,test,10.07491666816366
74,s14,25755.0,Bayes Optimal Teacher,19.0,Incongruent,Inference Scaffolding,test,10.156384061999686
75,s15,8367.0,Bayes Optimal Teacher,15.0,Congruent,No Scaffolding,test,9.032050676295599
76,s15,8908.0,Bayes Optimal Teacher,16.0,Congruent,No Scaffolding,test,9.094705028377259
77,s15,7984.0,Bayes Optimal Teacher,17.0,Congruent,No Scaffolding,test,8.9851948179913
78,s15,6635.0,Bayes Optimal Teacher,18.0,Congruent,No Scaffolding,test,8.800113946766308
79,s15,10070.0,Bayes Optimal Teacher,19.0,Congruent,No Scaffolding,test,9.217315985712608
80,s16,4114.0,Bayes Optimal Teacher,15.0,Incongruent,Inference Scaffolding,test,8.322151070212902
81,s16,7830.0,Bayes Optimal Teacher,16.0,Incongruent,Inference Scaffolding,test,8.965717788984849
82,s16,6657.0,Bayes Optimal Teacher,17.0,Incongruent,Inference Scaffolding,test,8.803424211600703
83,s16,4587.0,Bayes Optimal Teacher,18.0,Incongruent,Inference Scaffolding,test,8.430981494597171
84,s16,15567.0,Bayes Optimal Teacher,19.0,Incongruent,Inference Scaffolding,test,9.65290856803585
85,s17,12816.0,Bayes Optimal Teacher,15.0,Congruent,Reward Scaffolding,test,9.458449669308141
86,s17,11506.0,Bayes Optimal Teacher,16.0,Congruent,Reward Scaffolding,test,9.350623917423238
87,s17,5176.0,Bayes Optimal Teacher,17.0,Congruent,Reward Scaffolding,test,8.551787836180736
88,s17,6649.0,Bayes Optimal Teacher,18.0,Congruent,Reward Scaffolding,test,8.802221746402456
89,s17,9106.0,Bayes Optimal Teacher,19.0,Congruent,Reward Scaffolding,test,9.116688815894728
90,s18,17212.0,Reward Heuristic,15.0,Congruent,Inference Scaffolding,test,9.75336209395849
91,s18,10086.0,Reward Heuristic,16.0,Congruent,Inference Scaffolding,test,9.21890360263667
92,s18,5962.0,Reward Heuristic,17.0,Congruent,Inference Scaffolding,test,8.693161274238017
93,s18,4230.0,Reward Heuristic,18.0,Congruent,Inference Scaffolding,test,8.349957272040324
94,s18,3838.0,Reward Heuristic,19.0,Congruent,Inference Scaffolding,test,8.252706676567644
95,s19,9496.0,Bayes Optimal Teacher,15.0,Incongruent,No Scaffolding,test,9.158625936289503
96,s19,6429.0,Bayes Optimal Teacher,16.0,Incongruent,No Scaffolding,test,8.768574284141687
97,s19,5689.0,Bayes Optimal Teacher,17.0,Incongruent,No Scaffolding,test,8.646289764750648
98,s19,3367.0,Bayes Optimal Teacher,18.0,Incongruent,No Scaffolding,test,8.121777419161074
99,s19,12905.0,Bayes Optimal Teacher,19.0,Incongruent,No Scaffolding,test,9.465370112152714
100,s20,31580.0,Bayes Optimal Teacher,15.0,Incongruent,Reward Scaffolding,test,10.360279287809632
101,s20,8705.0,Bayes Optimal Teacher,16.0,Incongruent,Reward Scaffolding,test,9.07165285220229
102,s20,15758.0,Bayes Optimal Teacher,17.0,Incongruent,Reward Scaffolding,test,9.665103451805633
103,s20,10035.0,Bayes Optimal Teacher,18.0,Incongruent,Reward Scaffolding,test,9.213834261230438
104,s20,25674.0,Bayes Optimal Teacher,19.0,Incongruent,Reward Scaffolding,test,10.153234085644872
105,s21,4553.0,Reward Heuristic,15.0,Congruent,Reward Scaffolding,test,8.423541635334782
106,s21,3922.0,Reward Heuristic,16.0,Congruent,Reward Scaffolding,test,8.274357006756292
107,s21,1466.0,Reward Heuristic,17.0,Congruent,Reward Scaffolding,test,7.290292882446597
108,s21,1570.0,Reward Heuristic,18.0,Congruent,Reward Scaffolding,test,7.358830898342354
109,s21,1762.0,Reward Heuristic,19.0,Congruent,Reward Scaffolding,test,7.474204806496124
110,s22,5577.0,Bayes Optimal Teacher,15.0,Congruent,Reward Scaffolding,test,8.626406276389554
