subjID,group,condition,edge_normresp_U_obm,edge
s0,II,normal,0.9635395329782974,"(0, 2)"
s0,II,normal,0.7580645161290112,"(0, 3)"
s0,II,normal,0.6054901960784207,"(2, 4)"
s0,II,normal,0.3333333333333263,"(0, 1)"
s0,II,normal,1.0,"(1, 5)"
s1,CI,normal,0.46866038508808855,"(6, 8)"
s1,CI,normal,0.34838709677418694,"(3, 6)"
s1,CI,normal,1.0,"(6, 8)"
s1,CI,normal,0.3333333333333263,"(1, 5)"
s1,CI,normal,0.5854316546762385,"(6, 9)"
s2,CI,distractor,0.46866038508808855,"(6, 8)"
s2,CI,distractor,0.34838709677418694,"(3, 6)"
s2,CI,distractor,0.2752941176470541,"(3, 6)"
s2,CI,distractor,0.3333333333333263,"(1, 5)"
s2,CI,distractor,0.5854316546762385,"(6, 9)"
s3,II,distractor,0.46866038508808855,"(6, 8)"
s3,II,distractor,0.2910394265232909,"(1, 4)"
s3,II,distractor,0.2752941176470541,"(3, 6)"
s3,II,distractor,0.3333333333333263,"(1, 5)"
s3,II,distractor,0.5854316546762385,"(6, 9)"
s4,II,normal,1.0,"(0, 1)"
s4,II,normal,0.7580645161290112,"(0, 3)"
s4,II,normal,0.5294117647058676,"(0, 3)"
s4,II,normal,0.3333333333333263,"(0, 1)"
s4,II,normal,1.0,"(1, 5)"
s5,CI,scaffolding,0.46866038508808855,"(6, 8)"
s5,CI,scaffolding,0.34838709677418694,"(3, 6)"
s5,CI,scaffolding,0.2752941176470541,"(3, 6)"
s5,CI,scaffolding,0.3333333333333263,"(1, 5)"
s5,CI,scaffolding,0.5854316546762385,"(6, 9)"
s6,CI,distractor,0.46866038508808855,"(6, 8)"
s6,CI,distractor,0.34838709677418694,"(3, 6)"
s6,CI,distractor,0.2752941176470541,"(3, 6)"
s6,CI,distractor,0.3333333333333263,"(1, 5)"
s6,CI,distractor,0.5854316546762385,"(6, 9)"
s7,CI,distractor,0.8574354772634312,"(5, 8)"
s7,CI,distractor,1.0,"(4, 7)"
s7,CI,distractor,0.5294117647058676,"(0, 3)"
s7,CI,distractor,1.0,"(5, 9)"
